respondent_id,xyz_vaccine,seasonal_vaccine
26707,0.1880240818478842,0.40294335609515075
26708,0.08592896737191694,0.1661341954218732
26709,0.2260409088724851,0.5789096213835411
26710,0.3694262556910888,0.7171294670587693
26711,0.33501307389515084,0.5003870773251885
26712,0.60656379992779,0.8545981873015777
26713,0.11616712748929152,0.34594036490957936
26714,0.06591881259677498,0.24197597279260818
26715,0.08503829771361947,0.2395869503327287
26716,0.12592810953681763,0.6391776047561457
26717,0.037276939066090066,0.25471979014513413
26718,0.43764198299469836,0.6665600798362883
26719,0.1476914901485104,0.7483625220784473
26720,0.07053405539737938,0.16112347157177495
26721,0.09567180436017439,0.20630676056817984
26722,0.03571098464418905,0.08329421170282948
26723,0.35229812023944757,0.5822267373615855
26724,0.1162991242059785,0.4837275725070873
26725,0.014539056955748534,0.08390073106225508
26726,0.04370137951035004,0.0737107260215709
26727,0.10897771833208246,0.6312627307059842
26728,0.3567746161767416,0.6225590964816525
26729,0.2033077697803251,0.4889708816244116
26730,0.08750810818637361,0.2519674702056305
26731,0.058049716264915015,0.42128230850824777
26732,0.1959029297718598,0.19398682784857466
26733,0.42956857486128025,0.5919673726603532
26734,0.2708099496532487,0.31365284882396277
26735,0.12681413901786182,0.4741617138751799
26736,0.15192073487583788,0.35157172040071105
26737,0.11685246112724201,0.3149778184933248
26738,0.31044508458918196,0.5554243680143155
26739,0.2058336496328409,0.3972242971410714
26740,0.11419345731120567,0.1313923918581552
26741,0.24710512694688705,0.7064774033296526
26742,0.1365398046280923,0.45845527913085116
26743,0.1515374001553277,0.595612257350235
26744,0.12562404172476732,0.6555667653513858
26745,0.4338482282654448,0.8055288940463522
26746,0.12657822002877406,0.3247346637964963
26747,0.0765170988408546,0.3231757834619328
26748,0.13516423429194535,0.06302115189618475
26749,0.10864316834119836,0.35077477844607746
26750,0.40605780931380053,0.6817368764600814
26751,0.4717898949435223,0.6931254252927671
26752,0.08689761044139219,0.1576615209867888
26753,0.15521384730713364,0.4791249985328922
26754,0.2564628177868515,0.2727931534152846
26755,0.36760082958492235,0.5625526211716806
26756,0.1482541859777686,0.2422559032358213
26757,0.33753661660598605,0.2892880414046252
26758,0.30424682076523846,0.7057602212258022
26759,0.10423934497995711,0.3116541523025808
26760,0.045771156655073565,0.053688615907587625
26761,0.037354560926615855,0.3533032185104083
26762,0.12530699653380817,0.6472487395907645
26763,0.6394375715508369,0.8688875094719745
26764,0.8047517272205399,0.855232254844066
26765,0.6480209639784407,0.713291390926084
26766,0.20765487466257768,0.2832538304843436
26767,0.7308232672473508,0.7346048632575115
26768,0.07660879180995857,0.22484144970651532
26769,0.0473630267674948,0.09276998927151961
26770,0.1737298679761937,0.36279658279237437
26771,0.04942926762098077,0.20959096973056118
26772,0.17454218596686236,0.5889932655595802
26773,0.0846667467544964,0.3337629529378743
26774,0.13563250807190444,0.49402835781048654
26775,0.14776092492361775,0.44183380693943397
26776,0.3117236463218882,0.18307148037368534
26777,0.16181300866624454,0.6121858697530019
26778,0.15153757385528505,0.1421228627051831
26779,0.19112670352834243,0.4572144827481504
26780,0.14755605830473822,0.7603728277861334
26781,0.16827926129701637,0.4539472139742669
26782,0.10437525719543796,0.4070460859170808
26783,0.048998800233957224,0.2871891909753555
26784,0.45458195727430095,0.8718488058078585
26785,0.21652214818507876,0.36489769761686064
26786,0.16405515535974066,0.34846946215553976
26787,0.06877089697989106,0.40269097172070806
26788,0.13738897287316415,0.680860806259556
26789,0.08000302876473851,0.16585335917621505
26790,0.05839573218592723,0.33227209131751656
26791,0.07382030363234601,0.12266027298209652
26792,0.36232523808616024,0.6861041120038549
26793,0.13261903430806393,0.57644284014501
26794,0.4757972463981069,0.5519781845027266
26795,0.24522517653504405,0.8637641654996447
26796,0.10632465796314249,0.21152284536217328
26797,0.25905543042456186,0.47824131067206216
26798,0.1419014023146335,0.1891730387798661
26799,0.17698708346971592,0.23063986192207037
